drug_name,route_id,route_name,target_product,atom_economy_percent,pmi,e_factor,overall_yield_percent_from_summary,overall_yield_percent_from_steps,number_of_steps,step_penalty,average_hazard_score,recommended_solvents_count,problematic_solvents_count,hazardous_solvents_count,overall_solvent_profile
Ibuprofen,IBU_BHC_3STEP,BHC / Hoechst-Celanese 3-step ibuprofen route,Ibuprofen,33.23,,,52.1,52.13,3,0.8574,3.33,0,0,0,
Ibuprofen,IBU_FLOW_JG2015,Jolliffe-Gerogiorgis continuous-flow ibuprofen route,Ibuprofen,18.2,,,88.29,88.29,3,0.8574,2.82,3,0,0,Recommended
Artemisinin,R1,Cook 2012,(+)-Artemisinin,10.51,916.52,915.52,9.0,8.91,5,0.7738,2.31,2,1,0,Problematic
Artemisinin,R2,Yadav 2010,(+)-Artemisinin,10.69,159622.0,159621.0,0.5,0.52,10,0.5987,2.23,1,2,0,Problematic
Artemisinin,R3,Roche/Schmid 1983,(+)-Artemisinin (Qinghaosu),4.98,,,3.0,3.19,10,0.5987,2.6,0,3,0,Problematic
Artemisinin,R4,Sanofi semi-synthetic 2010,(+)-Artemisinin,20.26,,,40.0,40.97,5,0.7738,1.61,1,0,0,Recommended
Sitagliptin,SITA_MERCK_2GEN,Merck 2nd-generation sitagliptin process,Sitagliptin phosphate monohydrate,73.97,1.35,0.35,67.5,44.15,5,0.7738,3.0,0,0,0,
Sitagliptin,SITA_MERCK_3GEN,Merck/Codexis 3rd-generation biocatalytic sitagliptin process,Sitagliptin phosphate monohydrate,90.01,1.11,0.11,76.28,76.28,2,0.9025,1.6,0,0,0,
Sertraline,SERT_PFIZER_GREEN,Pfizer greener commercial sertraline route (continuous chromatography + improved downstream process),Sertraline hydrochloride,95.02,1.05,0.05,74.64,74.64,4,0.8145,2.5,4,1,0,Problematic
Sertraline,SERT_MARX_CHEMOENZ,Marx chemoenzymatic sertraline route (KRED + NaOCl/AZADO + methylamine/NaBH4),Sertraline,61.92,1.61,0.61,16.0,16.0,3,0.8574,2.33,1,1,0,Problematic
